id,type,readonly,group,name
88,6,0,pid_rate,yaw_kp
89,6,0,pid_rate,yaw_ki
90,6,0,pid_rate,yaw_kd
91,6,0,pid_rate,yaw_kff
92,0,0,pid_rate,rateFiltEn
93,6,0,pid_rate,omxFiltCut
94,6,0,pid_rate,omyFiltCut
95,6,0,pid_rate,omzFiltCut
96,8,0,colAv,enable
97,6,0,colAv,ellipsoidX
98,6,0,colAv,ellipsoidY
99,6,0,colAv,ellipsoidZ
100,6,0,colAv,bboxMinX
101,6,0,colAv,bboxMinY
102,6,0,colAv,bboxMinZ
103,6,0,colAv,bboxMaxX
104,6,0,colAv,bboxMaxY
105,6,0,colAv,bboxMaxZ
106,6,0,colAv,horizon
107,6,0,colAv,maxSpeed
108,6,0,colAv,sidestepThrsh
109,2,0,colAv,maxPeerLocAge
110,6,0,colAv,vorTol
111,2,0,colAv,vorIters
112,8,0,commander,enHighLevel
113,6,0,ctrlINDI,thrust_threshold
114,6,0,ctrlINDI,bound_ctrl_input
115,6,0,ctrlINDI,g1_p
116,6,0,ctrlINDI,g1_q
117,6,0,ctrlINDI,g1_r
118,6,0,ctrlINDI,g2
119,6,0,ctrlINDI,ref_err_p
120,6,0,ctrlINDI,ref_err_q
121,6,0,ctrlINDI,ref_err_r
122,6,0,ctrlINDI,ref_rate_p
123,6,0,ctrlINDI,ref_rate_q
124,6,0,ctrlINDI,ref_rate_r
125,6,0,ctrlINDI,act_dyn_p
126,6,0,ctrlINDI,act_dyn_q
127,6,0,ctrlINDI,act_dyn_r
128,6,0,ctrlINDI,filt_cutoff
129,6,0,ctrlINDI,filt_cutoff_r
130,8,0,ctrlINDI,outerLoopActive
131,6,0,ctrlMel,kp_xy
132,6,0,ctrlMel,kd_xy
133,6,0,ctrlMel,ki_xy
134,6,0,ctrlMel,i_range_xy
135,6,0,ctrlMel,kp_z
136,6,0,ctrlMel,kd_z
137,6,0,ctrlMel,ki_z
138,6,0,ctrlMel,i_range_z
139,6,0,ctrlMel,mass
140,6,0,ctrlMel,massThrust
141,6,0,ctrlMel,kR_xy
142,6,0,ctrlMel,kR_z
143,6,0,ctrlMel,kw_xy
144,6,0,ctrlMel,kw_z
145,6,0,ctrlMel,ki_m_xy
146,6,0,ctrlMel,ki_m_z
147,6,0,ctrlMel,kd_omega_rp
148,6,0,ctrlMel,i_range_m_xy
149,6,0,ctrlMel,i_range_m_z
150,6,0,ctrlAtt,tau_xy
151,6,0,ctrlAtt,zeta_xy
152,6,0,ctrlAtt,tau_z
153,6,0,ctrlAtt,zeta_z
154,6,0,ctrlAtt,tau_rp
155,6,0,ctrlAtt,mixing_factor
156,6,0,ctrlAtt,coll_fairness
157,6,0,cppm,rateRoll
158,6,0,cppm,ratePitch
159,6,0,cppm,angPitch
160,6,0,cppm,angRoll
161,6,0,cppm,rateYaw
162,6,0,hlCommander,vtoff
163,6,0,hlCommander,vland
164,8,0,flightmode,althold
165,8,0,flightmode,poshold
166,8,0,flightmode,posSet
167,8,0,flightmode,yawMode
168,8,0,flightmode,stabModeRoll
169,8,0,flightmode,stabModePitch
170,8,0,flightmode,stabModeYaw
171,8,0,locSrv,enRangeStreamFP32
172,8,0,locSrv,enLhAngleStream
173,6,0,locSrv,extPosStdDev
174,6,0,locSrv,extQuatStdDev
175,9,0,crtpsrv,echoDelay
176,8,0,kalman,resetEstimation
177,8,0,kalman,quadIsFlying
178,8,0,kalman,robustTdoa
179,8,0,kalman,robustTwr
180,6,0,kalman,pNAcc_xy
181,6,0,kalman,pNAcc_z
182,6,0,kalman,pNVel
183,6,0,kalman,pNPos
184,6,0,kalman,pNAtt
185,6,0,kalman,mNBaro
186,6,0,kalman,mNGyro_rollpitch
187,6,0,kalman,mNGyro_yaw
188,6,0,kalman,initialX
189,6,0,kalman,initialY
190,6,0,kalman,initialZ
191,6,0,kalman,initialYaw
192,6,0,kalman,maxPos
193,6,0,kalman,maxVel
194,8,0,health,startPropTest
195,8,0,health,startBatTest
196,9,0,health,propTestPWMRatio
197,8,0,memTst,resetW
198,6,0,posCtrlIndi,K_xi_x
199,6,0,posCtrlIndi,K_xi_y
200,6,0,posCtrlIndi,K_xi_z
201,6,0,posCtrlIndi,K_dxi_x
202,6,0,posCtrlIndi,K_dxi_y
203,6,0,posCtrlIndi,K_dxi_z
204,6,0,posCtrlIndi,pq_clamping
205,6,0,posCtlPid,xKp
206,6,0,posCtlPid,xKi
207,6,0,posCtlPid,xKd
208,6,0,posCtlPid,xKff
209,6,0,posCtlPid,yKp
210,6,0,posCtlPid,yKi
211,6,0,posCtlPid,yKd
212,6,0,posCtlPid,yKff
213,6,0,posCtlPid,zKp
214,6,0,posCtlPid,zKi
215,6,0,posCtlPid,zKd
216,6,0,posCtlPid,zKff
217,9,0,posCtlPid,thrustBase
218,9,0,posCtlPid,thrustMin
219,6,0,posCtlPid,rLimit
220,6,0,posCtlPid,pLimit
221,6,0,posCtlPid,xVelMax
222,6,0,posCtlPid,yVelMax
223,6,0,posCtlPid,zVelMax
224,6,0,velCtlPid,vxKp
225,6,0,velCtlPid,vxKi
226,6,0,velCtlPid,vxKd
227,6,0,velCtlPid,vxKFF
228,6,0,velCtlPid,vyKp
229,6,0,velCtlPid,vyKi
230,6,0,velCtlPid,vyKd
231,6,0,velCtlPid,vyKFF
232,6,0,velCtlPid,vzKp
233,6,0,velCtlPid,vzKi
234,6,0,velCtlPid,vzKd
235,6,0,velCtlPid,vzKFF
236,6,0,posEstAlt,estAlphaAsl
237,6,0,posEstAlt,estAlphaZr
238,6,0,posEstAlt,velFactor
239,6,0,posEstAlt,velZAlpha
240,6,0,posEstAlt,vAccDeadband
241,10,0,powerDist,idleThrust
242,6,0,quadSysId,thrustToTorque
243,6,0,quadSysId,pwmToThrustA
244,6,0,quadSysId,pwmToThrustB
245,6,0,quadSysId,armLength
246,6,0,sensfusion6,kp
247,6,0,sensfusion6,ki
248,6,0,sensfusion6,baseZacc
249,8,0,sound,effect
250,10,1,sound,neffect
251,9,0,sound,freq
252,8,0,stabilizer,estimator
253,8,0,stabilizer,controller
254,8,0,stabilizer,stop
255,9,1,cpu,flash
256,10,1,cpu,id0
257,10,1,cpu,id1
258,10,1,cpu,id2
259,8,0,tdoaEngine,logId
260,8,0,tdoaEngine,logOthrId
261,8,0,tdoaEngine,matchAlgo
262,8,0,lighthouse,method
263,8,0,lighthouse,bsCalibReset
264,8,0,lighthouse,systemType
265,9,1,lighthouse,bsAvailable
266,6,0,lighthouse,sweepStd
267,6,0,lighthouse,sweepStd2
268,8,0,lighthouse,enLhRawStream
269,9,0,lighthouse,lh2maxRate
270,10,1,firmware,revision0
271,9,1,firmware,revision1
272,8,1,firmware,modified
